# 饮食 / Food & Cooking
## cat: food-tech
sear | 高温煎封：用大火快速把表面煎出焦壳
brassica | 十字花科：西兰花、卷心菜、芥蓝这一类
allium | 葱属：洋葱、蒜、韭这一类含硫辛味的植物
legume | 豆科植物：结荚的植物，能固氮
pulse | 干豆：晒干后储存的豆类，如鹰嘴豆扁豆
tuber | 块茎：地下膨大的茎，如土豆
rhizome | 根茎：横走的地下茎，如姜、藕
bulb | 鳞茎：层层包裹的地下贮藏器官，如洋葱
stalk | 茎秆：支撑叶与花的主干部分
floret | 小花球：西兰花花椰菜上掰下来的一小朵
kernel | 籽粒：谷物或坚果去壳后的可食部分
husk | 外壳：包在谷粒外面的硬壳或苞叶
bran | 麸皮：谷粒最外层，富含纤维
germ | 胚芽：谷粒中会发育成幼苗的部分，油脂高易败
endosperm | 胚乳：谷粒中储存淀粉的主体部分
wholegrain | 全谷的：麸皮胚芽胚乳都保留
milling | 碾磨：把谷物磨成粉的加工
groats | 去壳谷粒：只去掉外壳、未再加工的整粒
semolina | 粗粒小麦粉：硬质小麦磨成的粗粉，做意面用
durum | 硬粒小麦：蛋白质高、专用于意面
spelt | 斯佩尔特小麦：古老麦种，味坚果香
farro | 法罗麦：整粒煮食的古老小麦
buckwheat | 荞麦：并非小麦，是蓼科的假谷物
starch | 淀粉：谷薯类中的主要碳水，遇热糊化
gluten | 面筋：小麦蛋白遇水形成的弹性网络
pectin | 果胶：果实中的多糖，遇糖酸凝成果酱
ripeness | 成熟度：果实风味与质地达到的阶段
underripe | 未熟的：偏硬偏酸，香气未发展
overripe | 过熟的：变软发酵，甜但易烂
blemish | 表皮瑕疵：不影响食用的碰痕或斑点
bruising | 碰伤：受压后果肉褐变发软
wilted | 蔫的：失水后变软塌
pith | 白瓤：柑橘皮内侧的白色海绵层，苦
rind | 硬皮：瓜果或奶酪最外的一层
core | 果心：苹果梨中间不吃的部分
stone | 果核：桃李杏中间的硬核
pip | 小籽：苹果柑橘里的扁平种子
citrus | 柑橘类：橙柠檬柚等含精油外皮的果实
stone-fruit | 核果类：桃李杏樱桃这类中间一颗硬核的水果
pome | 仁果类：苹果梨这类多籽的果实
drupe | 核果：植物学上一核一果的结构
gourd | 葫芦科：南瓜黄瓜西葫芦这一类
nightshade | 茄科：番茄土豆茄子辣椒这一类
cruciferous | 十字花科的：花瓣呈十字，含硫化合物
mycelium | 菌丝体：蘑菇在土里的网状主体
truffle | 松露：地下生长的珍贵真菌，香气极强
sprout | 芽苗：种子刚发芽的可食部分
microgreen | 微型菜苗：真叶初展就采收的幼苗
seasonal | 时令的：当季出产因而风味最好
## cat: food-spice
aromatic | 芳香底料：葱姜蒜等先下锅出香的材料
bloom | 爆香：把香料放进热油里激出香气
infuse | 浸出味：让香料的味道慢慢渗进液体
extract | 提取物：把风味物质浓缩成液体，如香草精
essence | 精粹：高度浓缩的香味液
oleoresin | 油树脂：香料中油溶与树脂成分的浓缩物
volatile | 挥发性的：受热易散失，所以香料要后放
capsaicin | 辣椒素：产生辣感的化合物，不溶于水
scoville | 史高维尔：衡量辣度的单位
pungency | 冲劲：辛辣刺鼻的强度
piquant | 微辣开胃的：有刺激感但不烧口
saffron | 藏红花：花柱头晒干而成，色金黄价极昂
cardamom | 豆蔻：荚果类香料，清凉带樟脑香
cumin | 孜然：温热土腥香，烤肉常用
coriander | 芫荽：叶为香菜，籽为柑橘香的香料
fenugreek | 葫芦巴：微苦带枫糖香，咖喱常用
asafoetida | 阿魏：生味极冲，加热后转为葱蒜香
star-anise | 八角：五角星形，甘草样甜香
sichuan-pepper | 花椒：不辣但让舌头发麻
numbing | 麻的：让口腔产生震颤麻痹感
horseradish | 辣根：辛冲直上鼻腔，与芥末同类
acidulate | 加酸：滴酸防止氧化变色
koji | 曲：米上培养的霉菌，酱油味噌的起点
miso | 味噌：大豆发酵成的咸鲜酱
tahini | 芝麻酱：去皮芝麻磨成的糊
harissa | 哈里萨辣酱：北非的辣椒香料酱
gochujang | 韩式辣椒酱：发酵而成，甜辣带鲜
stock | 高汤：骨与蔬菜久煮出的清汤底
bouillon | 清汤：调过味、可直接饮的汤
fond | 锅底焦渣：煎肉后锅底那层香味物质
roux | 油面糊：等量油与面粉炒成的增稠底
slurry | 水淀粉：淀粉调水，用来勾芡
thickener | 增稠剂：让汤汁变浓稠的材料
emulsifier | 乳化剂：帮助油水稳定混合的成分
mother-sauce | 母酱：法餐五大基础酱汁
veloute | 天鹅绒酱：白高汤加油面糊做成的基础酱
bechamel | 白汁：牛奶加油面糊做成的基础酱
espagnole | 西班牙酱：褐高汤做的深色基础酱
hollandaise | 荷兰酱：蛋黄与黄油乳化的温热酱
vinaigrette | 油醋汁：油与醋乳化而成的凉拌汁
jus | 原汁：烤肉自身渗出的浓缩肉汁
gravy | 肉汁酱：锅底汁加粉勾成的浓酱
marinade | 腌料：浸泡入味用的调味液
rub | 干腌料：抹在肉表面的香料混合物
glaze | 亮汁：收浓后刷在表面形成光泽的糖或汁
condiment | 佐料：吃的时候另加的酱料
seasoning | 调味：盐与香料的整体运用
umami-paste | 鲜味酱：如番茄膏、鱼露膏一类提鲜料
## cat: food-bake
leavening | 膨松：靠气体让面团或面糊长大
sourdough | 天然酵种面包：靠野生酵母与乳酸菌发起
starter | 酵种：养着的一小团活面糊，用来起发
levain | 鲁邦种：从酵种续养出、当天要用的那一份
poolish | 波兰种：含水量高的液态预发面团
biga | 意式硬种：含水量低的预发面团
hydration | 含水量：水与面粉的重量比，决定面团软硬
autolyse | 自解：面粉与水先静置，让面筋自行形成
bulk-fermentation | 基础发酵：整团面在分割前的第一次发酵
shaping | 整形：把面团滚圆或折叠出张力
scoring | 割包：入炉前划口，控制它往哪儿裂开
oven-spring | 炉内膨胀：刚进炉那几分钟的急速长大
crumb | 内瓤：切开后气孔与组织的样子
crust | 外壳：烤出的硬脆表层
staling | 老化：放久后变硬变干，与失水不同
retrogradation | 淀粉回生：糊化过的淀粉重新结晶，是老化的成因
lamination | 起酥：黄油与面皮反复折叠成层
puff-pastry | 千层酥皮：不加酵母、靠水汽撑起的层次
shortcrust | 酥皮塔皮：油脂裹住面粉，口感松散不起层
choux | 泡芙面糊：先烫熟再加蛋，靠水汽撑成空心
ganache | 甘纳许：巧克力与奶油乳化成的柔滑糊
custard | 蛋奶糊：蛋黄与奶加热到浓稠
curd | 果泥酱：果汁蛋黄黄油加热成的浓酱
meringue | 蛋白霜：蛋白打发加糖成的雪白泡沫
macaron | 马卡龙：杏仁粉与蛋白霜做的夹心小饼
praline | 果仁糖：坚果裹焦糖后打碎
nougat | 牛轧：蛋白霜与糖浆混合成的耐嚼糖
toffee | 太妃：糖与黄油熬到硬脆
fondant | 翻糖：糖浆再结晶成的可塑糖膏
icing | 糖霜：糖粉调成的覆面装饰
buttercream | 奶油霜：黄油与糖打发成的抹面霜
couverture | 调温巧克力：可可脂含量高、专供制作用
conching | 精炼：长时间搅磨巧克力使其顺滑
bloom | 起霜：巧克力表面泛白的脂或糖结晶
viennoiserie | 维也纳面包类：介于面包与点心之间的起酥品
patisserie | 法式甜点：也指做这类甜点的店
genoise | 热那亚海绵蛋糕：全蛋打发、不加泡打粉
chiffon | 戚风：蛋黄糊与蛋白霜分别处理再混合
mousse | 慕斯：靠打发与凝固剂做出的轻盈口感
panna-cotta | 意式奶冻：奶油加吉利丁凝成
creme-brulee | 焦糖布丁：表面砂糖烧成脆焦糖壳
soft-peak | 湿性发泡：提起打蛋器尖端会弯下来
stiff-peak | 干性发泡：尖端挺立不倒
ribbon-stage | 缎带状：蛋糊滴落能画出不消失的痕
folding | 翻拌：轻手合并两种糊而尽量不消泡
docking | 扎孔：给面皮扎眼防止鼓起
blind-bake | 盲烤：先空烤塔皮再填馅
proving | 醒发：整形后让面团再次长大
knock-back | 排气：把发好的面团压出大气泡
retarding | 低温延缓发酵：放冷藏让风味慢慢发展
## cat: food-drink
roast | 烘焙度：豆子被烘到的深浅程度
single-origin | 单一产地的：只用一个庄园或产区的豆
blend | 拼配：把不同产地的豆按比例混合
arabica | 阿拉比卡：风味细致、酸质明亮的主流咖啡种
robusta | 罗布斯塔：咖啡因高、苦味重、油脂厚
extraction | 萃取：水把豆子里的可溶物带出来的过程
under-extracted | 萃取不足的：偏酸、尖锐、后段空
over-extracted | 萃取过度的：偏苦、干涩、发涩
crema | 咖啡油脂：意式浓缩表面那层棕色泡沫
ristretto | 短萃：水量减半的浓缩，更甜更稠
lungo | 长萃：水量加倍的浓缩，更淡更苦
pour-over | 手冲：热水绕圈注入滤杯的冲煮法
immersion | 浸泡式的：粉水泡在一起再分离，如法压
grind-size | 研磨度：颗粒粗细，直接决定萃取快慢
tamping | 压粉：把粉饼压平压实
cupping | 杯测：标准化地闻香品尝并打分
body | 醇厚度：液体在口中的重量与厚度
brightness | 明亮度：讨喜的酸质带来的清爽感
oxidation | 氧化：茶叶发酵变红的过程
first-flush | 头春：当年第一轮采摘，香气最清扬
matcha | 抹茶：遮阴栽培的茶叶磨成的细粉
steeping | 闷泡：茶叶浸在热水中出味
astringency | 涩感：单宁让口腔收紧发干
tannin | 单宁：来自皮与籽的多酚，带来涩与结构
mash | 糖化醪：谷物与热水混合、把淀粉转成糖
wort | 麦汁：糖化后待发酵的甜液
hops | 啤酒花：提供苦味与香气并抑菌
malt | 麦芽：发芽后烘干的谷粒
distillation | 蒸馏：靠沸点差把酒精浓缩出来
cask | 橡木桶：陈年容器，赋予香草与烟熏香
barrel-aged | 桶陈的：在木桶中存放而获得风味
vintage | 年份：葡萄采收的那一年
sommelier | 侍酒师：负责选酒与配餐的专业人员
decant | 醒酒：倒入宽口瓶让酒接触空气
aeration | 通气：让香气打开、涩感柔化
legs | 挂杯：摇晃后沿杯壁流下的酒痕
nose | 香气：凑近闻到的整体气味印象
corked | 木塞污染的：一股湿纸板与霉味
effervescent | 起泡的：不断冒出细小气泡
brut | 干型的：几乎不含残糖的起泡酒
off-dry | 微甜的：残糖略高于干型
mouthfeel | 口感：液体在口腔中的物理感受
finish | 尾韵：咽下之后味道留存的长短
palate-cleanser | 清口：换菜之间用来重置味觉的东西
neat | 纯饮的：不加冰不加水直接喝
## cat: food-dining
cuisine | 菜系：一个地区或流派的整套烹饪方式
gastronomy | 美食学：研究饮食与文化关系的学问
culinary | 烹饪的：与做菜有关的
haute-cuisine | 高级料理：讲究技法与摆盘的精致法餐传统
nouvelle-cuisine | 新式料理：分量小、酱汁轻、重食材本味
fusion | 融合菜：把不同菜系的技法与食材混用
regional | 地方性的：只在某地流行的做法
staple | 主食：日常提供主要热量的食物
delicacy | 珍馐：稀有或制作费工的美味
garnish | 装饰配菜：为观感与香气加上的点缀
plating | 摆盘：把菜在盘中安排出结构与美感
course | 一道菜：按顺序上桌的其中一道
appetiser | 开胃菜：正餐前的小份菜
hors-doeuvre | 餐前小点：入座前佐酒的小食
amuse-bouche | 迎宾小点：厨师赠送的一口小菜
entree | 主菜：美式指主菜，法式指前菜，容易混
side | 配菜：与主菜同上的辅助菜品
digestif | 餐后酒：饭后助消化的烈酒
aperitif | 餐前酒：开胃用的低度酒
tasting-menu | 品尝菜单：由厨师定好的多道小份套餐
a-la-carte | 单点的：从菜单上逐道自选
prix-fixe | 定价套餐：固定价格的固定几道菜
degustation | 品鉴：多道小份、循序渐进的品尝形式
mise-en-place | 备料就位：开火前把所有材料切配好摆好
brigade | 厨房分工制：按岗位划分的厨师编制
sous-chef | 副主厨：主厨之下的第二负责人
commis | 学徒厨师：厨房中最初级的岗位
front-of-house | 前厅：客人看得见的服务区域
back-of-house | 后厨：客人看不见的操作区域
covers | 客位数：一餐服务的客人数量
allergen | 过敏原：可能引发过敏反应的成分
dietary | 饮食限制的：出于健康或信仰的忌口
pescatarian | 鱼素者：吃鱼不吃其他肉类
halal | 清真的：符合伊斯兰教规的食品
kosher | 洁食的：符合犹太教规的食品
farm-to-table | 从农场到餐桌的：食材直接来自本地农场
seasonality | 时令性：跟着季节安排菜单
foraging | 野采：从野外采集可食植物与菌类
provenance | 来源：食材出自哪里、由谁生产
food-mile | 食物里程：食材运到餐桌所走的距离
family-style | 合餐式：大盘上桌、各人自取
banquet | 宴席：多道菜的正式聚餐
potluck | 百家宴：每人带一道菜共享
leftovers | 剩菜：吃剩下、留待下顿的饭菜
palate | 味觉：一个人分辨与偏好味道的能力
